sep=,
"Time","w"
s,rad/s
5.7000000000000E-01,6.2724071044159E+02
5.8000000000000E-01,6.3326038082931E+02
5.9000000000000E-01,6.3916027631097E+02
6.0000000000000E-01,6.4494278007821E+02
6.1000000000000E-01,6.5061022790369E+02
6.2000000000000E-01,6.5616490908462E+02
6.3000000000000E-01,6.6160906736749E+02
6.4000000000000E-01,6.6694490185439E+02
6.5000000000000E-01,6.7217456789131E+02
6.6000000000000E-01,6.7730017793879E+02
6.7000000000000E-01,6.8232380242520E+02
6.8000000000000E-01,6.8724747058308E+02
6.9000000000000E-01,6.9207317126880E+02
7.0000000000000E-01,6.9680285376597E+02
7.1000000000000E-01,7.0143842857281E+02
7.2000000000000E-01,7.0598176817384E+02
7.3000000000000E-01,7.1043470779633E+02
7.4000000000000E-01,7.1479904615154E+02
7.5000000000000E-01,7.1907654616132E+02
7.6000000000000E-01,7.2326893567021E+02
7.7000000000000E-01,7.2737790814341E+02
7.8000000000000E-01,7.3140512335080E+02
7.9000000000000E-01,7.3535220803740E+02
8.0000000000000E-01,7.3922075658047E+02
8.1000000000000E-01,7.4301233163355E+02
8.2000000000000E-01,7.4672846475767E+02
8.3000000000000E-01,7.5037065703998E+02
8.4000000000000E-01,7.5394037970013E+02
8.5000000000000E-01,7.5743907468457E+02
8.6000000000000E-01,7.6086815524892E+02
8.7000000000000E-01,7.6422900652895E+02
8.8000000000000E-01,7.6752298609998E+02
8.9000000000000E-01,7.7075142452537E+02
9.0000000000000E-01,7.7391562589386E+02
9.1000000000000E-01,7.7701686834647E+02
9.2000000000000E-01,7.8005640459266E+02
9.3000000000000E-01,7.8303546241647E+02
9.4000000000000E-01,7.8595524517237E+02
9.5000000000000E-01,7.8881693227140E+02
9.6000000000000E-01,7.9162167965756E+02
9.7000000000000E-01,7.9437062027474E+02
9.8000000000000E-01,7.9706486452434E+02
9.9000000000000E-01,7.9970550071385E+02
1.0000000000000E+00,8.0229359549641E+02
1.0100000000000E+00,8.0483019430170E+02
1.0200000000000E+00,8.0731632175822E+02
1.0300000000000E+00,8.0975298210718E+02
1.0400000000000E+00,8.1214115960814E+02
1.0500000000000E+00,8.1448181893661E+02
1.0600000000000E+00,8.1677590557369E+02
1.0700000000000E+00,8.1902434618803E+02
1.0800000000000E+00,8.2122804901009E+02
1.0900000000000E+00,8.2338790419907E+02
1.1000000000000E+00,8.2550478420240E+02
1.1100000000000E+00,8.2757954410826E+02
1.1200000000000E+00,8.2961302199088E+02
1.1300000000000E+00,8.3160603924913E+02
1.1400000000000E+00,8.3355940093831E+02
1.1500000000000E+00,8.3547389609531E+02
1.1600000000000E+00,8.3735029805736E+02
1.1700000000000E+00,8.3918936477442E+02
1.1800000000000E+00,8.4099183911530E+02
1.1900000000000E+00,8.4275844916778E+02
1.2000000000000E+00,8.4448990853269E+02
1.2100000000000E+00,8.4618691661216E+02
1.2200000000000E+00,8.4785015889214E+02
1.2300000000000E+00,8.4948030721929E+02
1.2400000000000E+00,8.5107802007238E+02
1.2500000000000E+00,8.5264394282824E+02
1.2600000000000E+00,8.5417870802249E+02
1.2700000000000E+00,8.5568293560503E+02
1.2800000000000E+00,8.5715723319044E+02
1.2900000000000E+00,8.5860219630345E+02
1.3000000000000E+00,8.6001840861951E+02
1.3100000000000E+00,8.6140644220048E+02
1.3200000000000E+00,8.6276685772580E+02
1.3300000000000E+00,8.6410020471892E+02
1.3400000000000E+00,8.6540702176927E+02
1.3500000000000E+00,8.6668783674985E+02
1.3600000000000E+00,8.6794316703042E+02
1.3700000000000E+00,8.6917351968651E+02
1.3800000000000E+00,8.7037939170424E+02
1.3900000000000E+00,8.7156127018108E+02
1.4000000000000E+00,8.7271963252257E+02
1.4100000000000E+00,8.7385494663522E+02
1.4200000000000E+00,8.7496767111548E+02
1.4300000000000E+00,8.7605825543498E+02
1.4400000000000E+00,8.7712714012211E+02
1.4500000000000E+00,8.7817475693995E+02
1.4600000000000E+00,8.7920152906067E+02
1.4700000000000E+00,8.8020787123650E+02
1.4800000000000E+00,8.8119418996722E+02
1.4900000000000E+00,8.8216088366440E+02
1.5000000000000E+00,8.8310834281228E+02
1.5100000000000E+00,8.8403695012558E+02
1.5200000000000E+00,8.8494708070401E+02
1.5300000000000E+00,8.8583910218385E+02
1.5400000000000E+00,8.8671337488642E+02
1.5500000000000E+00,8.8757025196364E+02
1.5600000000000E+00,8.8841007954066E+02
1.5700000000000E+00,8.8923319685572E+02
1.5800000000000E+00,8.9003993639712E+02
1.5900000000000E+00,8.9083062403757E+02
1.6000000000000E+00,8.9160557916582E+02
1.6100000000000E+00,8.9236511481564E+02
1.6200000000000E+00,8.9310953779230E+02
1.6300000000000E+00,8.9383914879648E+02
1.6400000000000E+00,8.9455424254576E+02
1.6500000000000E+00,8.9525510789362E+02
1.6600000000000E+00,8.9594202794618E+02
1.6700000000000E+00,8.9661528017650E+02
1.6800000000000E+00,8.9727513653671E+02
1.6900000000000E+00,8.9792186356782E+02
1.7000000000000E+00,8.9855572250743E+02
1.7100000000000E+00,8.9917696939520E+02
1.7200000000000E+00,8.9978585517633E+02
1.7300000000000E+00,9.0038262580288E+02
1.7400000000000E+00,9.0096752233316E+02
1.7500000000000E+00,9.0154078102907E+02
1.7600000000000E+00,9.0210263345153E+02
1.7700000000000E+00,9.0265330655407E+02
1.7800000000000E+00,9.0319302277444E+02
1.7900000000000E+00,9.0372200012450E+02
1.8000000000000E+00,9.0424045227827E+02
1.8100000000000E+00,9.0474858865826E+02
1.8200000000000E+00,9.0524661452001E+02
1.8300000000000E+00,9.0573473103508E+02
1.8400000000000E+00,9.0621313537225E+02
1.8500000000000E+00,9.0668202077717E+02
1.8600000000000E+00,9.0714157665045E+02
1.8700000000000E+00,9.0759198862415E+02
1.8800000000000E+00,9.0803343863676E+02
1.8900000000000E+00,9.0846610500667E+02
1.9000000000000E+00,9.0889016250426E+02
1.9100000000000E+00,9.0930578242243E+02
1.9200000000000E+00,9.0971313264585E+02
1.9300000000000E+00,9.1011237771872E+02
1.9400000000000E+00,9.1050367891127E+02
1.9500000000000E+00,9.1088719428490E+02
1.9600000000000E+00,9.1126307875603E+02
1.9700000000000E+00,9.1163148415865E+02
1.9800000000000E+00,9.1199255930569E+02
1.9900000000000E+00,9.1234645004909E+02
2.0000000000000E+00,9.1269329933875E+02
