sep=,
"Time","w"
s,rad/s
5.7000000000000E-01,8.9585352997223E+02
5.8000000000000E-01,9.0230179400334E+02
5.9000000000000E-01,9.0856896079964E+02
6.0000000000000E-01,9.1466011641348E+02
6.1000000000000E-01,9.2058020405721E+02
6.2000000000000E-01,9.2633402811481E+02
6.3000000000000E-01,9.3192625804081E+02
6.4000000000000E-01,9.3736143214974E+02
6.5000000000000E-01,9.4264396129917E+02
6.6000000000000E-01,9.4777813246928E+02
6.7000000000000E-01,9.5276811224190E+02
6.8000000000000E-01,9.5761795018189E+02
6.9000000000000E-01,9.6233158212350E+02
7.0000000000000E-01,9.6691283336443E+02
7.1000000000000E-01,9.7136542177025E+02
7.2000000000000E-01,9.7569296079159E+02
7.3000000000000E-01,9.7989896239658E+02
7.4000000000000E-01,9.8398683992094E+02
7.5000000000000E-01,9.8795991083808E+02
7.6000000000000E-01,9.9182139945130E+02
7.7000000000000E-01,9.9557443951050E+02
7.8000000000000E-01,9.9922207675529E+02
7.9000000000000E-01,1.0027672713868E+03
8.0000000000000E-01,1.0062129004698E+03
8.1000000000000E-01,1.0095617602680E+03
8.2000000000000E-01,1.0128165685127E+03
8.3000000000000E-01,1.0159799666089E+03
8.4000000000000E-01,1.0190545217785E+03
8.5000000000000E-01,1.0220427291439E+03
8.6000000000000E-01,1.0249470137530E+03
8.7000000000000E-01,1.0277697325471E+03
8.8000000000000E-01,1.0305131762733E+03
8.9000000000000E-01,1.0331795713442E+03
9.0000000000000E-01,1.0357710816443E+03
9.1000000000000E-01,1.0382898102860E+03
9.2000000000000E-01,1.0407378013168E+03
9.3000000000000E-01,1.0431170413777E+03
9.4000000000000E-01,1.0454294613156E+03
9.5000000000000E-01,1.0476769377501E+03
9.6000000000000E-01,1.0498612945968E+03
9.7000000000000E-01,1.0519843045473E+03
9.8000000000000E-01,1.0540476905075E+03
9.9000000000000E-01,1.0560531269964E+03
1.0000000000000E+00,1.0580022415045E+03
1.0100000000000E+00,1.0598966158149E+03
1.0200000000000E+00,1.0617377872869E+03
1.0300000000000E+00,1.0635272501036E+03
1.0400000000000E+00,1.0652664564843E+03
1.0500000000000E+00,1.0669568178636E+03
1.0600000000000E+00,1.0685997060361E+03
1.0700000000000E+00,1.0701964542702E+03
1.0800000000000E+00,1.0717483583899E+03
1.0900000000000E+00,1.0732566778264E+03
1.1000000000000E+00,1.0747226366403E+03
1.1100000000000E+00,1.0761474245148E+03
1.1200000000000E+00,1.0775321977213E+03
1.1300000000000E+00,1.0788780800578E+03
1.1400000000000E+00,1.0801861637607E+03
1.1500000000000E+00,1.0814575103913E+03
1.1600000000000E+00,1.0826931516975E+03
1.1700000000000E+00,1.0838940904508E+03
1.1800000000000E+00,1.0850613012602E+03
1.1900000000000E+00,1.0861957313632E+03
1.2000000000000E+00,1.0872983013944E+03
1.2100000000000E+00,1.0883699061328E+03
1.2200000000000E+00,1.0894114152278E+03
1.2300000000000E+00,1.0904236739050E+03
1.2400000000000E+00,1.0914075036521E+03
1.2500000000000E+00,1.0923637028856E+03
1.2600000000000E+00,1.0932930475988E+03
1.2700000000000E+00,1.0941962919916E+03
1.2800000000000E+00,1.0950741690823E+03
1.2900000000000E+00,1.0959273913026E+03
1.3000000000000E+00,1.0967566510759E+03
