sep=,
"Time","w"
s,rad/s
5.7000000000000E-01,9.5213351885009E+02
5.8000000000000E-01,9.5745591535448E+02
5.9000000000000E-01,9.6259299081833E+02
6.0000000000000E-01,9.6755119795292E+02
6.1000000000000E-01,9.7233676479199E+02
6.2000000000000E-01,9.7695570251473E+02
6.3000000000000E-01,9.8141381299653E+02
6.4000000000000E-01,9.8571669609670E+02
6.5000000000000E-01,9.8986975669251E+02
6.6000000000000E-01,9.9387821146829E+02
6.7000000000000E-01,9.9774709546811E+02
6.8000000000000E-01,1.0014812684204E+03
6.9000000000000E-01,1.0050854208421E+03
7.0000000000000E-01,1.0085640799308E+03
7.1000000000000E-01,1.0119216152510E+03
7.2000000000000E-01,1.0151622442230E+03
7.3000000000000E-01,1.0182900374202E+03
7.4000000000000E-01,1.0213089236825E+03
7.5000000000000E-01,1.0242226950509E+03
7.6000000000000E-01,1.0270350115312E+03
7.7000000000000E-01,1.0297494056910E+03
7.8000000000000E-01,1.0323692870971E+03
7.9000000000000E-01,1.0348979465981E+03
8.0000000000000E-01,1.0373385604585E+03
8.1000000000000E-01,1.0396941943480E+03
8.2000000000000E-01,1.0419678071924E+03
8.3000000000000E-01,1.0441622548905E+03
8.4000000000000E-01,1.0462802939012E+03
8.5000000000000E-01,1.0483245847059E+03
8.6000000000000E-01,1.0502976951507E+03
8.7000000000000E-01,1.0522021036713E+03
8.8000000000000E-01,1.0540402024068E+03
8.9000000000000E-01,1.0558143002040E+03
9.0000000000000E-01,1.0575266255178E+03
9.1000000000000E-01,1.0591793292103E+03
9.2000000000000E-01,1.0607744872524E+03
9.3000000000000E-01,1.0623141033318E+03
9.4000000000000E-01,1.0638001113696E+03
9.5000000000000E-01,1.0652343779492E+03
9.6000000000000E-01,1.0666187046615E+03
9.7000000000000E-01,1.0679548303677E+03
9.8000000000000E-01,1.0692444333831E+03
9.9000000000000E-01,1.0704891335861E+03
1.0000000000000E+00,1.0716904944518E+03
1.0100000000000E+00,1.0728500250169E+03
1.0200000000000E+00,1.0739691817747E+03
1.0300000000000E+00,1.0750493705047E+03
1.0400000000000E+00,1.0760919480385E+03
1.0500000000000E+00,1.0770982239639E+03
1.0600000000000E+00,1.0780694622702E+03
1.0700000000000E+00,1.0790068829356E+03
1.0800000000000E+00,1.0799116634598E+03
1.0900000000000E+00,1.0807849403432E+03
1.1000000000000E+00,1.0816278105140E+03
1.1100000000000E+00,1.0824413327065E+03
1.1200000000000E+00,1.0832265287908E+03
1.1300000000000E+00,1.0839843850564E+03
1.1400000000000E+00,1.0847158534511E+03
1.1500000000000E+00,1.0854218527768E+03
1.1600000000000E+00,1.0861032698435E+03
1.1700000000000E+00,1.0867609605831E+03
1.1800000000000E+00,1.0873957511251E+03
1.1900000000000E+00,1.0880084388335E+03
1.2000000000000E+00,1.0885997933092E+03
1.2100000000000E+00,1.0891705573559E+03
1.2200000000000E+00,1.0897214479139E+03
1.2300000000000E+00,1.0902531569601E+03
