sep=,
"Time","w_meas"
s,rad/s
5.9000000000000E-01,9.3146256877956E+02
6.0000000000000E-01,9.4932412118209E+02
6.1000000000000E-01,9.4367127808269E+02
6.2000000000000E-01,9.4543810178407E+02
6.3000000000000E-01,9.5137806548427E+02
6.4000000000000E-01,9.7021087768576E+02
6.5000000000000E-01,9.7006632728767E+02
6.6000000000000E-01,9.8151558667572E+02
6.7000000000000E-01,9.7313598279581E+02
6.8000000000000E-01,9.7902399140850E+02
6.9000000000000E-01,9.8312636509608E+02
7.0000000000000E-01,9.9961372474041E+02
7.1000000000000E-01,9.8873951396912E+02
7.2000000000000E-01,1.0044354861390E+03
7.3000000000000E-01,1.0024301447869E+03
7.4000000000000E-01,1.0037809723264E+03
7.5000000000000E-01,1.0033382749876E+03
7.6000000000000E-01,1.0208539762153E+03
7.7000000000000E-01,1.0202658535531E+03
7.8000000000000E-01,1.0141851276346E+03
7.9000000000000E-01,1.0165484572528E+03
8.0000000000000E-01,1.0238397952521E+03
8.1000000000000E-01,1.0298479190513E+03
8.2000000000000E-01,1.0324432428797E+03
8.3000000000000E-01,1.0337485294426E+03
8.4000000000000E-01,1.0349808824292E+03
8.5000000000000E-01,1.0499134030208E+03
8.6000000000000E-01,1.0417573275821E+03
8.7000000000000E-01,1.0485868070636E+03
8.8000000000000E-01,1.0421553766571E+03
8.9000000000000E-01,1.0546619212105E+03
9.0000000000000E-01,1.0552536816983E+03
9.1000000000000E-01,1.0605506244269E+03
9.2000000000000E-01,1.0646098634747E+03
9.3000000000000E-01,1.0617052249656E+03
9.4000000000000E-01,1.0595990086205E+03
9.5000000000000E-01,1.0714113213511E+03
9.6000000000000E-01,1.0683108549922E+03
9.7000000000000E-01,1.0640006609736E+03
9.8000000000000E-01,1.0681438377442E+03
9.9000000000000E-01,1.0669327785041E+03
1.0000000000000E+00,1.0638696435809E+03
1.0100000000000E+00,1.0692630029138E+03
1.0200000000000E+00,1.0774030172315E+03
1.0300000000000E+00,1.0700750378883E+03
1.0400000000000E+00,1.0840487755454E+03
1.0500000000000E+00,1.0718076220928E+03
1.0600000000000E+00,1.0729615109298E+03
1.0700000000000E+00,1.0800092586322E+03
1.0800000000000E+00,1.0857184221307E+03
1.0900000000000E+00,1.0733955227958E+03
1.1000000000000E+00,1.0859381985361E+03
1.1100000000000E+00,1.0769532861732E+03
1.1200000000000E+00,1.0935446841790E+03
1.1300000000000E+00,1.0884549395359E+03
1.1400000000000E+00,1.0783651669436E+03
1.1500000000000E+00,1.0853852305837E+03
1.1600000000000E+00,1.0903105512728E+03
1.1700000000000E+00,1.0841054570609E+03
1.1800000000000E+00,1.0988500262270E+03
1.1900000000000E+00,1.0882525172311E+03
1.2000000000000E+00,1.0911733284688E+03
1.2100000000000E+00,1.1011758651878E+03
1.2200000000000E+00,1.0858037222438E+03
1.2300000000000E+00,1.1002036046535E+03
1.2400000000000E+00,1.0935839773990E+03
1.2500000000000E+00,1.1049071485877E+03
1.2600000000000E+00,1.1068342369400E+03
1.2700000000000E+00,1.0899213738532E+03
1.2800000000000E+00,1.0994917583017E+03
1.2900000000000E+00,1.0959368807116E+03
1.3000000000000E+00,1.0977876378126E+03
1.3100000000000E+00,1.0946749429264E+03
1.3200000000000E+00,1.1041665770316E+03
1.3300000000000E+00,1.1066263985193E+03
1.3400000000000E+00,1.0946863248951E+03
1.3500000000000E+00,1.1008028090563E+03
1.3600000000000E+00,1.0978637661177E+03
1.3700000000000E+00,1.1113084089041E+03
1.3800000000000E+00,1.1068731553499E+03
1.3900000000000E+00,1.1026524418074E+03
