sep=,
"Time","w_meas"
s,rad/s
1.0000000000000E-02,-1.0520226344252E+01
2.0000000000000E-02,-6.1763508977058E+00
3.0000000000000E-02,6.6613140069119E+00
4.0000000000000E-02,2.1093552413510E+01
5.0000000000000E-02,5.1107578376456E+01
6.0000000000000E-02,6.9000971950026E+01
7.0000000000000E-02,9.5017604232665E+01
8.0000000000000E-02,1.2020733633586E+02
9.0000000000000E-02,1.4148240048717E+02
1.0000000000000E-01,1.6086882479985E+02
1.1000000000000E-01,1.9255197282965E+02
1.2000000000000E-01,2.1442278375741E+02
1.3000000000000E-01,2.3345973125640E+02
1.4000000000000E-01,2.4557338761697E+02
1.5000000000000E-01,2.6665970929625E+02
1.6000000000000E-01,2.9763309611633E+02
1.7000000000000E-01,3.2401899907886E+02
1.8000000000000E-01,3.4405163656705E+02
1.9000000000000E-01,3.4259861919306E+02
2.0000000000000E-01,3.7042497477279E+02
2.1000000000000E-01,3.9261824061426E+02
2.2000000000000E-01,4.0852881459957E+02
2.3000000000000E-01,4.1393325857309E+02
2.4000000000000E-01,4.4169743140562E+02
2.5000000000000E-01,4.4699360987164E+02
2.6000000000000E-01,4.6021252709253E+02
2.7000000000000E-01,4.7995399001071E+02
2.8000000000000E-01,5.0086767906162E+02
2.9000000000000E-01,5.1050478966624E+02
3.0000000000000E-01,5.2507380540246E+02
3.1000000000000E-01,5.4781462814187E+02
3.2000000000000E-01,5.5529803705436E+02
3.3000000000000E-01,5.6830316933431E+02
3.4000000000000E-01,5.6851507986560E+02
3.5000000000000E-01,5.8641204349147E+02
3.6000000000000E-01,5.9812442710197E+02
3.7000000000000E-01,6.0802222270307E+02
3.8000000000000E-01,6.2584199126968E+02
3.9000000000000E-01,6.3851583896047E+02
4.0000000000000E-01,6.4372811812547E+02
4.1000000000000E-01,6.6139641536478E+02
4.2000000000000E-01,6.7391174792887E+02
4.3000000000000E-01,6.7212050016102E+02
4.4000000000000E-01,6.8778130185274E+02
4.5000000000000E-01,6.8942829835561E+02
4.6000000000000E-01,6.9990370859356E+02
4.7000000000000E-01,7.1898466805719E+02
4.8000000000000E-01,7.2667410018000E+02
4.9000000000000E-01,7.2464586750076E+02
5.0000000000000E-01,7.4079814616732E+02
5.1000000000000E-01,7.4087324302645E+02
5.2000000000000E-01,7.5480894601434E+02
5.3000000000000E-01,7.6302721787928E+02
5.4000000000000E-01,7.6482169501968E+02
5.5000000000000E-01,7.7672967034923E+02
5.6000000000000E-01,7.8176894025113E+02
5.7000000000000E-01,7.9814975613869E+02
5.8000000000000E-01,8.0637495709072E+02
