sep=,
"Time","w_meas"
s,rad/s
1.0000000000000E-02,-1.2878383478568E+01
2.0000000000000E-02,-5.8444030514613E+00
3.0000000000000E-02,-4.6539606710409E+00
4.0000000000000E-02,5.8860276253102E+00
5.0000000000000E-02,3.7667218476956E+01
6.0000000000000E-02,6.7229817049683E+01
7.0000000000000E-02,1.0666601905333E+02
8.0000000000000E-02,1.2703767465064E+02
9.0000000000000E-02,1.5399864845890E+02
1.0000000000000E-01,1.8524335600406E+02
1.1000000000000E-01,2.1828205687548E+02
1.2000000000000E-01,2.4763381992561E+02
1.3000000000000E-01,2.6899430688335E+02
1.4000000000000E-01,2.9897775514458E+02
1.5000000000000E-01,3.1072126401216E+02
1.6000000000000E-01,3.3593606675854E+02
1.7000000000000E-01,3.7761859636181E+02
1.8000000000000E-01,3.8102456194177E+02
1.9000000000000E-01,4.0817176836447E+02
2.0000000000000E-01,4.2705107633023E+02
2.1000000000000E-01,4.5139485815418E+02
2.2000000000000E-01,4.7926622733471E+02
2.3000000000000E-01,4.8627825370421E+02
2.4000000000000E-01,5.1193496418405E+02
2.5000000000000E-01,5.2998224775921E+02
2.6000000000000E-01,5.4253539191104E+02
2.7000000000000E-01,5.6875441955286E+02
2.8000000000000E-01,5.7404191261971E+02
2.9000000000000E-01,6.0096416104897E+02
3.0000000000000E-01,6.1722258110918E+02
3.1000000000000E-01,6.1915701548003E+02
3.2000000000000E-01,6.4615369440649E+02
3.3000000000000E-01,6.6187619262234E+02
3.4000000000000E-01,6.6553229966509E+02
3.5000000000000E-01,6.7597634110528E+02
3.6000000000000E-01,6.9424974856228E+02
3.7000000000000E-01,7.0314506984675E+02
3.8000000000000E-01,7.2706077070505E+02
3.9000000000000E-01,7.4021102719600E+02
4.0000000000000E-01,7.4350040357117E+02
4.1000000000000E-01,7.5150663166953E+02
4.2000000000000E-01,7.6019085796980E+02
4.3000000000000E-01,7.8443857905546E+02
4.4000000000000E-01,7.8792938801420E+02
4.5000000000000E-01,8.0987005137410E+02
4.6000000000000E-01,8.0713316899794E+02
4.7000000000000E-01,8.2916582972574E+02
4.8000000000000E-01,8.3815019746711E+02
4.9000000000000E-01,8.4737307450328E+02
5.0000000000000E-01,8.5481378933504E+02
5.1000000000000E-01,8.5025025236100E+02
5.2000000000000E-01,8.7383545069416E+02
5.3000000000000E-01,8.6533010864262E+02
5.4000000000000E-01,8.7574318439596E+02
5.5000000000000E-01,8.8722489595990E+02
5.6000000000000E-01,8.8911348601726E+02
5.7000000000000E-01,9.0026350059555E+02
5.8000000000000E-01,9.0643334344734E+02
