sep=,
"Time","w_meas"
s,rad/s
1.0000000000000E-02,-2.0602730171384E+00
2.0000000000000E-02,1.3423331514640E+00
3.0000000000000E-02,1.2726463100330E+01
4.0000000000000E-02,2.7066081020933E+01
5.0000000000000E-02,5.5682561541507E+01
6.0000000000000E-02,9.2567677502427E+01
7.0000000000000E-02,1.1932439965523E+02
8.0000000000000E-02,1.6237521734266E+02
9.0000000000000E-02,1.8333010335965E+02
1.0000000000000E-01,2.2000970824779E+02
1.1000000000000E-01,2.4550431629853E+02
1.2000000000000E-01,2.6285899542064E+02
1.3000000000000E-01,2.9401446420483E+02
1.4000000000000E-01,3.0786014273046E+02
1.5000000000000E-01,3.3411791783115E+02
1.6000000000000E-01,3.5383384469410E+02
1.7000000000000E-01,3.8216627264762E+02
1.8000000000000E-01,4.1405011100667E+02
1.9000000000000E-01,4.2977514702697E+02
2.0000000000000E-01,4.4862245968491E+02
2.1000000000000E-01,4.7480684941130E+02
2.2000000000000E-01,4.9113164663033E+02
2.3000000000000E-01,5.0310897061917E+02
2.4000000000000E-01,5.2895107473762E+02
2.5000000000000E-01,5.4856061234304E+02
2.6000000000000E-01,5.7017796860505E+02
2.7000000000000E-01,5.9131383265374E+02
2.8000000000000E-01,5.9856793237823E+02
2.9000000000000E-01,6.0745962175355E+02
3.0000000000000E-01,6.3776571525667E+02
3.1000000000000E-01,6.3613526914063E+02
3.2000000000000E-01,6.4996632556441E+02
3.3000000000000E-01,6.7143580249690E+02
3.4000000000000E-01,6.9211663458029E+02
3.5000000000000E-01,7.0779823785050E+02
3.6000000000000E-01,7.2254393097108E+02
3.7000000000000E-01,7.3544994772675E+02
3.8000000000000E-01,7.3676871837281E+02
3.9000000000000E-01,7.4326541223824E+02
4.0000000000000E-01,7.6206077270328E+02
4.1000000000000E-01,7.7794033260502E+02
4.2000000000000E-01,7.8481713906974E+02
4.3000000000000E-01,8.0300164649494E+02
4.4000000000000E-01,8.0841357230311E+02
4.5000000000000E-01,8.0745338167906E+02
4.6000000000000E-01,8.3041079934049E+02
4.7000000000000E-01,8.3698792206415E+02
4.8000000000000E-01,8.4818238184108E+02
4.9000000000000E-01,8.4758228948397E+02
5.0000000000000E-01,8.6951089552621E+02
5.1000000000000E-01,8.6257194385721E+02
5.2000000000000E-01,8.7428825772553E+02
5.3000000000000E-01,8.7744974384545E+02
5.4000000000000E-01,9.0223167524905E+02
5.5000000000000E-01,9.0176201768559E+02
5.6000000000000E-01,9.2007098885708E+02
5.7000000000000E-01,9.1752093094857E+02
5.8000000000000E-01,9.2724311621525E+02
